"1";"2014-10-02 00:00:00";"AT 15";;"Normal";"47.000";"60.000";"credit";"20";"6";"1";"1";"2";"1";"1400";"228";"152";"101";"4";"2650000";"credit";"VIII";"8";"5"
"2";"2014-11-23 21:11:27";"AT 15A";"Char d'assaut conçu pour les attaques de pointe sur les fortifications ennemies. Le projet de conception était prêt le 5 octobre 1943. Aucun prototype n'a été construit. Cependant, le projet a servi de base pour un char d'assaut lourd, l'A39 Tortoise.";"Normal";"65.000";"68.000";"or";"20";"6";"1";"1";"2";"1";"1050";"228";"152";"101";"4";"6500";"or";"VII";"7";"5"
"3";"2014-10-02 23:17:53";"AMX M4 mle. 45";;"Normal";"38.000";"60.000";"credit";"35";"5";"1";"1";"1";"1";"1200";"90";"40";"40";"3";"2552500";"credit";"VII";"7";"6"
"4";NULL;"T67";;"Normal";"8.000";"14.000";"credit";"61";"5";"1";"1";"1";"1";"340";"21";"19";"13";"4";"400000";"credit";"V";"5";"7"
"5";NULL;"M18 Hellcat";;"normal";"20.000";"21.000";"credit";"72";"5";"1";"1";"1";"1";"570";"12";"12";"12";"4";"950000";"credit";"VI";"6";"7"
"6";"2014-12-12 20:48:19";"Renault NC-31";"Le projet NC-2 (nom commercial NC-31) était une modification du char Renault FT-17 proposant une suspension souple à roulement et des chenilles à crocs en caoutchouc Kegresse-Hinstin. Ces caractéristiques, ajoutées à un moteur amélioré, apportèrent une augmentation de la vitesse maximale de 16 km/h. Un total de 15 véhicules de ce type furent exportés en Chine.";"Normal";"5.000";"7.000";"credit";"25";"2";"1";"0";"0";"0";"100";"16";"16";"16";"1";"0";"credit";"I";"1";"4"
"7";"2014-10-02 23:22:54";"AMX 13 75";;"Normal";"8.310";"1.000";"credit";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"credit";"VII";"7";"6"
"8";"2014-11-07 19:10:44";"T1E6";"Les véhicules expérimentaux T1E4 jusqu'à T1E6 ont été fortement influencés par le britannique Vickers E. Le premier prototype a été fabriqué par la corporation Cunningham en 1931. Après des essais en 1932, une variante améliorée a été produite. Cependant, un autre char expérimental, le T2, a été préféré.";"Event";"9.030";"11.000";"or";"48";"3";"1";"0";"1";"0";"160";"15";"6";"6";"1";"0";"or";"II";"2";"7"
"9";"2014-12-14 22:07:52";"WZ-132";"La commande pour le WZ-132 a été réalisée en 1964. Le design était basé sur le WZ-131, mais avec pour but d'améliorer la puissance de feu et le blindage de protection. Quelques prototypes ont été fabriqué avant l'abandon du projet fin des années 1960. Tous les prototypes ont été détruits lors des tests de l'arme nucléaire par les chinois.";"Normal";"23.520";"24.000";"credit";"64";"4";"1";"1";"1";"0";"950";"50";"25";"20";"1";"2400000";"credit";"VIII";"8";"4"
"10";NULL;"M40/M43";"Pas de paramètre";"normal";"1.000";"1.000";"credit";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"5";"0";"credit";"III";"3";"7"
